Time,Open,High,Low,Last,Change,%Chg,Volume
"2022-08-26 15:29",12593,12597.25,12593,12596.75,4,+0.03%,319
"2022-08-26 15:30",12597,12602.75,12596.75,12602.5,5.75,+0.05%,473
"2022-08-26 15:31",12602.5,12610.5,12601.25,12605.75,3.25,+0.03%,922
"2022-08-26 15:32",12605,12607,12602.25,12605.5,-0.25,0.00%,505
"2022-08-26 15:33",12605.75,12605.75,12596.75,12598.25,-7.25,-0.06%,630
"2022-08-26 15:34",12598,12599.5,12593.25,12597.5,-0.75,-0.01%,442
"2022-08-26 15:35",12597.5,12599.25,12596.75,12598,0.5,0.00%,235
"2022-08-26 15:36",12597.75,12598.5,12594.75,12596.25,-1.75,-0.01%,234
"2022-08-26 15:37",12596.25,12597.25,12594.5,12596.75,0.5,0.00%,197
"2022-08-26 15:38",12596.5,12599,12595,12598.75,2,+0.02%,259
"2022-08-26 15:39",12598.75,12599.25,12596.25,12598.25,-0.5,0.00%,194
"2022-08-26 15:40",12599,12599.75,12597,12597.5,-0.75,-0.01%,165
"2022-08-26 15:41",12597.5,12597.75,12596,12596.5,-1.,-0.01%,184
"2022-08-26 15:42",12596.75,12596.75,12590.75,12591.75,-4.75,-0.04%,343
"2022-08-26 15:43",12592,12592.25,12577,12587.75,-4.,-0.03%,872
"2022-08-26 15:44",12588.5,12589.5,12585,12588.25,0.5,0.00%,400
"2022-08-26 15:45",12588.25,12591.5,12587,12589,0.75,+0.01%,378
"2022-08-26 15:46",12589,12592.5,12587.75,12589.5,0.5,0.00%,300
"2022-08-26 15:47",12589.75,12590.25,12580.5,12581.5,-8.,-0.06%,347
"2022-08-26 15:48",12581.5,12585.75,12579.25,12584.75,3.25,+0.03%,461
"2022-08-26 15:49",12585,12587.25,12581.5,12582.5,-2.25,-0.02%,240
"2022-08-26 15:50",12582.75,12583.75,12576,12577.75,-4.75,-0.04%,655
"2022-08-26 15:51",12578.25,12581.25,12572.5,12574.75,-3.,-0.02%,501
"2022-08-26 15:52",12574.5,12578.25,12571.75,12572.75,-2.,-0.02%,498
"2022-08-26 15:53",12573,12574.75,12566.75,12568,-4.75,-0.04%,592
"2022-08-26 15:54",12567.75,12568.75,12558.25,12558.25,-9.75,-0.08%,924
"2022-08-26 15:55",12558.5,12566.25,12557.5,12564.75,6.5,+0.05%,460
"2022-08-26 15:56",12564.75,12568,12563.25,12567.5,2.75,+0.02%,277
"2022-08-26 15:57",12567.5,12568.25,12564.75,12565.5,-2.,-0.02%,439
"2022-08-26 15:58",12565,12565.5,12561.75,12563.5,-2.,-0.02%,442
"2022-08-26 15:59",12563.5,12563.5,12555.25,12558.25,-5.25,-0.04%,612
"2022-08-28 17:00",12484.25,12502.25,12460,12495.5,-62.75,-0.50%,3057
"2022-08-28 17:01",12494.75,12512,12493.75,12503.5,8,+0.06%,1506
"2022-08-28 17:02",12503.5,12504.5,12490,12492.75,-10.75,-0.09%,1010
"2022-08-28 17:03",12492.75,12503,12492.75,12495.5,2.75,+0.02%,674
"2022-08-28 17:04",12495.75,12502,12490,12490.5,-5.,-0.04%,494
"2022-08-28 17:05",12490.25,12493.75,12470.5,12472.5,-18.,-0.14%,942
"2022-08-28 17:06",12472.5,12481.25,12471.5,12476.75,4.25,+0.03%,841
"2022-08-28 17:07",12478,12480.5,12464.25,12464.5,-12.25,-0.10%,771
"2022-08-28 17:08",12465,12474,12464.25,12469.25,4.75,+0.04%,630
